id,name,team
3892,Josh Reddick,OAK
3441,Nolan Reimold,BAL
sa549860,Hunter Renfroe,SD
4712,Ben Revere,TOR
2090,Alex Rios,KC
843,Juan Rivera,N/A
4249,Shane Robinson,STL
9875,Trayvon Robinson,BAL
11746,Stefen Romero,SEA
12155,Eddie Rosario,MIN
1760,Cody Ross,ARI
254,Aaron Rowand,N/A
12409,Ryan Rua,TEX
7620,Justin Ruggiano,SEA
4016,Jerry Sands,CLE
10348,Domingo Santana,MIL
6898,Dave Sappelt,CHC
9981,Michael Saunders,TOR
9883,Jordan Schafer,MIN
7937,Logan Schafer,MIL
6201,Nate Schierholtz,N/A
3704,Skip Schumaker,CIN
6677,J.B. Shuck,CHW
6050,Moises Sierra,KC
2197,Grady Sizemore,PHI
7331,Seth Smith,SEA
5408,Jake Smolinski,OAK
2830,Travis Snider,BAL
14221,Jorge Soler,CHC
847,Alfonso Soriano,NYY
5667,Steven Souza,TB
8347,Denard Span,WAS
4521,Ryan Spilborghs,N/A
12856,George Springer,HOU
4949,Giancarlo Stanton,MIA
sa597751,Bubba Starling,KC
9328,Drew Stubbs,COL
1101,Ichiro Suzuki,MIA
6352,Ryan Sweeney,CHC
2411,Jose Tabata,LAD
11173,Oscar Taveras,STL
2591,Michael Taylor,N/A
11489,Michael Taylor,WAS
8810,Blake Tekotte,CHW
3711,Eric Thames,SEA
9952,Trayce Thompson,CHW
4450,Steve Tolleson,TOR
17171,Yasmany Tomas,ARI
1488,Andres Torres,N/A
10155,Mike Trout,LAA
6876,Mark Trumbo,SEA
13633,Preston Tucker,HOU
5015,Melvin Upton,ATL
5222,Justin Upton,SD
4365,Scott Van Slyke,LAD
211,Will Venable,TEX
3917,Dayan Viciedo,CHW
1677,Shane Victorino,LAA
10622,Zach Walters,CLE
9700,Casper Wells,SEA
1326,Vernon Wells,N/A
1327,Jayson Werth,WAS
2103,Josh Willingham,MIN
11859,Mason Williams,NYY
sa657865,Jesse Winker,CIN
1554,DeWayne Wise,N/A
11477,Christian Yelich,MIA
3882,Chris Young (H),NYY
2140,Delmon Young,BAL
7158,Eric Young Jr.,ATL
8989,Matt Young,DET
,Last Player,DET
818,Jason Giambi,N/A
1573,Travis Hafner,N/A
745,David Ortiz,BOS
3469,Luke Scott,TB
sa551307,Jorge Alfaro,TEX
9871,Bryan Anderson,STL
697,J.P. Arencibia,TEX
7476,Alex Avila,DET
4756,John Baker,SD
45,Rod Barajas,PIT
10028,Christian Bethancourt,ATL
81,Henry Blanco,N/A
2324,J.C. Boscan,ATL
10655,Rob Brantly,CHW
2041,John Buck,NYM
3411,Drew Butera,LAA
3256,Welington Castillo,ARI
8722,Jason Castro,HOU
5275,Francisco Cervelli,PIT
3142,Robinson Chirinos,TEX
9542,Steve Clevenger,BAL
2505,Hank Conger,HOU
5587,Carlos Corporan,TEX
2802,Tony Cruz,STL
7739,Travis D'Arnaud,NYM
5677,A.J. Ellis,LAD
4398,Luis Exposito,BAL
8609,Tim Federowicz,SD
4166,Jesus Flores,WAS
9134,Tyler Flowers,CHW
11003,Evan Gattis,HOU
7324,Chris Gimenez,TEX
2172,Hector Gimenez,CHW
9627,Yan Gomes,CLE
5277,Tuffy Gosewisch,ARI
11368,Yasmani Grandal,LAD
4952,Ryan Hanigan,BOS
12976,Austin Hedges,SD
918,Ramon Hernandez,N/A
877,John Hester,LAA
8211,Steven Hill,STL
11287,Bryan Holaday,DET
3376,Nick Hundley,COL
8267,Chris Iannetta,LAA
5887,John Jaso,TB
sa454887,A.J. Jimenez,TOR
8029,Rob Johnson,NYM
7087,Caleb Joseph,BAL
993,Jason Kendall,N/A
5506,George Kottaras,N/A
4403,Erik Kratz,BOS
1698,Gerald Laird,N/A
9246,Blake Lalli,CHC
5273,Sandy Leon,WAS
4243,Jose Lobaton,WAS
7870,Jonathan Lucroy,MIL
6887,Martin Maldonado,MIL
7610,Lou Marson,CLE
2481,Luis Martinez,BAL
4616,Russell Martin,TOR
3448,Jeff Mathis,MIA
4810,Brian McCann,NYY
12859,James McCann,DET
9628,Michael McKenry,COL
5666,Devin Mesoraco,CIN
25,Jose Molina,N/A
7007,Yadier Molina,STL
3364,Miguel Montero,CHC
9362,Adam Moore,N/A
10346,John Ryan Murphy,MIN
3179,Dioner Navarro,TOR
7419,Mike Nickeas,NYM
1556,Wil Nieves,N/A
6867,Derek Norris,SD
1638,Miguel Olivo,N/A
2677,Jordan Pacheco,ARI
2129,Ronny Paulino,BAL
3231,Brayan Pena,CIN
10642,Carlos Perez,LAA
2900,Roberto Perez,CLE
7304,Salvador Perez,KC
9308,Josh Phegley,OAK
746,A.J. Pierzynski,ATL
2829,Manny Pina,KC
6806,Josmil Pinto,MIN
13807,Kevin Plawecki,NYM
841,Jorge Posada,N/A
9166,Buster Posey,SF
1824,Humberto Quintero,SEA
1433,Wilson Ramos,WAS
11739,J.T. Realmuto,MIA
4063,Anthony Recker,NYM
3648,Rene Rivera,TB
1275,Ivan Rodriguez,N/A
8002,Wilin Rosario,COL
1551,David Ross,CHC
2579,Carlos Ruiz,PHI
11146,Cameron Rupp,PHI
5557,Jarrod Saltalamacchia,MIA
11442,Gary Sanchez,NYY
10289,Hector Sanchez,SF
6178,Tony Sanchez,PIT
16478,Kyle Schwarber,CHC
3867,Kelly Shoppach,SEA
5298,Kyle Skipworth,MIA
4606,Chris Snyder,HOU
8848,Ali Solis,N/A
3707,Geovany Soto,N/A
3878,Chris Stewart,PIT
13132,Andrew Susac,SF
8259,Kurt Suzuki,MIN
13176,Blake Swihart,BOS
5199,Taylor Teagarden,N/A
9689,Josh Thole,TOR
1135,Yorvit Torrealba,N/A
9774,Christian Vazquez,BOS
4298,Matt Wieters,BAL
6564,Bobby Wilson,N/A
13265,Mike Zunino,SEA
2495,Pedro Alvarez,PIT
9777,Nolan Arenado,COL
3817,Joaquin Arias,SF
11997,Cody Asche,PHI
1790,Garrett Atkins,N/A
2510,Josh Bell,ARI
639,Adrian Beltre,TEX
1861,Wilson Betemit,BAL
719,Casey Blake,N/A
8380,Reid Brignac,COL
15429,Kris Bryant,CHC
2521,Jorge Cantu,N/A
8265,Russ Canzler,BAL
8090,Matt Carpenter,STL
11737,Nick Castellanos,DET
11608,Garin Cecchini,BOS
906,Eric Chavez,N/A
7571,Lonnie Chisenhall,CLE
3533,Mike Costanzo,CIN
sa455436,Zack Cox,MIA
9060,James Darnell,SD
7226,Matt Davidson,CHW
9272,Chris Davis,BAL
1392,Mark DeRosa,N/A
7485,Blake Dewitt,N/A
4903,Matt Dominguez,MIL
5038,Josh Donaldson,TOR
1580,Chone Figgins,N/A
6978,Juan Francisco,TB
12179,Maikel Franco,PHI
785,Todd Frazier,CIN
9549,David Freese,LAA
14128,Joey Gallo,TEX
13777,Adonis Garcia,ATL
9009,Conor Gillaspie,LAA
15,Troy Glaus,N/A
9147,Taylor Green,MIL
8202,Josh Harrison,PIT
4720,Chase Headley,NYY
10556,Cesar Hernandez,PHI
9345,Brock Holt,BOS
470,Brandon Inge,N/A
6341,Luis Jimenez,BOS
1191,Chris Johnson,CLE
2234,Kelly Johnson,NYM
97,Chipper Jones,N/A
2216,Don Kelly,DET
5995,Kevin Kouzmanoff,N/A
5476,Brandon Laird,HOU
13329,Jacob Lamb,ARI
5411,Alex Liddi,SEA
9368,Evan Longoria,TB
3735,Zach Lutz,NYM
11493,Manny Machado,BAL
395,John McDonald,ARI
6086,Casey McGehee,SF
7002,Will Middlebrooks,SD
4390,Scott Moore,STL
157,Melvin Mora,N/A
6402,Brent Morel,N/A
4892,Mike Moustakas,KC
sa601536,Ronnier Mustelier,NYY
8175,Chris Nelson,PHI
3790,Jayson Nix,NYY
17528,Hector Olivera,ATL
10698,Mike Olt,CHC
5481,Jimmy Paredes,BAL
7462,Trevor Plouffe,MIN
1176,Placido Polanco,MIA
1002,Aramis Ramirez,PIT
7619,Mark Reynolds,STL
5653,Ryan Roberts,KC
1274,Alex Rodriguez,NYY
970,Scott Rolen,N/A
10807,Tyler Saladino,CHW
5409,Pablo Sandoval,BOS
12164,Miguel Sano,MIN
2396,Carlos Santana,CLE
9785,Kyle Seager,SEA
2881,Scott Sizemore,NYY
5950,Ian Stewart,N/A
4511,Mark Teahen,N/A
1888,Chad Tracy,N/A
5235,Justin Turner,LAD
454,Juan Uribe,NYM
10681,Giovanny Urshela,CLE
6364,Danny Valencia,OAK
4623,Josh Vitters,CHC
9312,Ryan Wheeler,COL
6592,Brandon Wood,N/A
3787,David Wright,NYM
1935,Kevin Youkilis,N/A
4220,Ryan Zimmerman,WAS
5053,Tony Abreu,SF
7389,David Adams,MIA
10711,Arismendy Alcantara,CHC
5417,Jose Altuve,HOU
4900,Robert Andino,SEA
5986,Mike Aviles,CLE
2073,Jeff Baker,MIA
2430,Darwin Barney,LAD
9015,Gordon Beckham,CHW
7949,Tim Beckham,TB
8585,Yuniesky Betancourt,KC
8055,Brian Bixler,HOU
4054,Emilio Bonifacio,CHW
3336,Alberto Callaspo,LAD
3269,Robinson Cano,SEA
9514,Adrian Cardenas,CHC
5248,Alexi Casilla,BAL
5278,Pedro Ciriaco,BOS
11145,Christian Colon,KC
3298,Charlie Culberson,COL
9886,Ivan De Jesus,BOS
8392,Daniel Descalso,COL
10542,Derek Dietrich,MIA
957,Matt Downs,HOU
9810,Brian Dozier,MIN
13836,Matt Duffy,SF
1443,Mark Ellis,STL
9219,Danny Espinosa,WAS
6165,Irving Falu,MIL
2066,Eric Farris,MIL
7185,Logan Forsythe,TB
10166,Nick Franklin,TB
88,Rafael Furcal,MIA
10339,Scooter Gennett,MIL
3388,Chris Getz,N/A
6740,Johnny Giavotella,LAA
9807,Ryan Goins,TOR
